Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,226.5,226.5,219.0,219.5,197.96873474121094,32900482
2019-01-03,214.0,218.0,214.0,215.5,194.361083984375,34087620
2019-01-04,211.5,211.5,206.5,208.0,187.5967559814453,65943521
2019-01-07,212.0,214.0,211.0,213.0,192.10629272460938,35442176
2019-01-08,212.0,212.5,210.0,211.0,190.302490234375,22694481
2019-01-09,212.0,216.5,211.0,215.5,194.361083984375,46295446
2019-01-10,216.0,216.5,214.5,216.0,194.81202697753906,20754593
2019-01-11,219.0,220.5,218.0,220.5,198.87063598632812,28102288
2019-01-14,218.5,220.0,217.0,218.5,197.06678771972656,17612296
2019-01-15,216.5,221.0,215.5,221.0,199.32156372070312,38882923
2019-01-16,218.5,220.0,217.5,217.5,196.16490173339844,28978282
2019-01-17,218.0,221.0,218.0,220.5,198.87063598632812,21163986
2019-01-18,219.0,220.0,217.5,218.5,197.06678771972656,49627569
2019-01-21,220.0,223.0,220.0,221.0,199.32156372070312,29384866
2019-01-22,220.0,223.0,219.0,223.0,201.12539672851562,28926483
2019-01-23,221.5,222.0,220.0,220.5,198.87063598632812,16671213
2019-01-24,222.5,222.5,220.5,222.5,200.6744384765625,26417924
2019-01-25,226.5,227.0,225.0,226.0,203.83111572265625,46692764
2019-01-28,229.5,229.5,228.0,229.0,206.5368194580078,26026257
2019-01-29,222.5,225.0,222.0,222.5,200.6744384765625,41122520
2019-01-30,220.5,221.5,220.0,221.0,199.32156372070312,44755945
2019-02-11,228.0,229.0,226.5,228.0,205.63491821289062,78307106
2019-02-12,230.0,230.0,229.0,230.0,207.43875122070312,29406670
2019-02-13,232.0,232.0,228.5,229.0,206.5368194580078,28634925
2019-02-14,229.5,230.0,226.0,227.0,204.73301696777344,23647751
2019-02-15,229.0,229.0,226.5,227.0,204.73301696777344,22369799
2019-02-18,229.0,230.5,228.5,230.0,207.43875122070312,16978916
2019-02-19,230.0,230.5,229.0,229.0,206.5368194580078,16577023
2019-02-20,231.5,234.5,231.0,234.5,211.497314453125,30479710
2019-02-21,235.5,236.5,234.5,236.5,213.30113220214844,33764489
2019-02-22,235.5,236.5,234.0,236.5,213.30113220214844,22032163
2019-02-25,237.5,239.0,236.0,238.0,214.65399169921875,24105138
2019-02-26,239.0,240.0,236.5,239.5,216.00685119628906,24522789
2019-02-27,238.5,239.5,237.0,239.0,215.555908203125,35240889
2019-03-04,239.5,239.5,234.5,235.5,212.3992462158203,39655513
2019-03-05,234.0,234.5,232.5,233.0,210.14447021484375,22641407
2019-03-06,235.0,235.5,233.5,234.0,211.04635620117188,20433226
2019-03-07,235.0,235.0,233.0,234.0,211.04635620117188,17126192
2019-03-08,231.0,231.5,229.0,230.0,207.43875122070312,22190659
2019-03-11,228.0,230.5,227.5,230.5,207.8896484375,23200793
2019-03-12,233.0,237.0,232.5,235.5,212.3992462158203,23588085
2019-03-13,234.0,237.0,234.0,237.0,213.7520751953125,20500195
2019-03-14,239.0,239.0,234.0,234.5,211.497314453125,17175356
2019-03-15,237.0,239.5,235.5,239.0,215.555908203125,33649729
2019-03-18,239.5,241.0,239.0,241.0,217.35972595214844,26856532
2019-03-19,239.0,240.5,238.0,240.5,216.9087677001953,14479009
2019-03-20,242.0,242.0,239.5,242.0,218.26162719726562,22975971
2019-03-21,242.5,245.5,241.0,245.5,221.4182891845703,26179502
2019-03-22,248.0,248.5,244.5,248.5,224.12400817871094,22931467
2019-03-25,240.5,243.5,240.5,241.5,217.81065368652344,19211254
2019-03-26,243.0,244.0,241.0,244.0,220.06544494628906,19920170
2019-03-27,242.0,242.5,240.5,241.5,217.81065368652344,22590089
2019-03-28,240.5,242.5,240.0,242.0,218.26162719726562,13933054
2019-03-29,243.0,245.5,240.5,245.5,221.4182891845703,28220810
2019-04-01,251.0,251.0,245.0,245.5,221.4182891845703,35330656
2019-04-02,249.5,249.5,246.0,246.0,221.86927795410156,24105053
2019-04-03,249.0,249.0,246.5,246.5,222.32020568847656,24945323
2019-04-08,251.0,253.0,250.5,253.0,228.1826171875,45184821
2019-04-09,253.0,254.0,252.0,254.0,229.08450317382812,22355674
2019-04-10,253.0,254.5,252.0,254.0,229.08450317382812,25849934
2019-04-11,253.0,254.0,251.5,252.0,227.28070068359375,24896840
2019-04-12,251.5,253.0,251.0,252.0,227.28070068359375,13548148
2019-04-15,255.0,256.0,254.0,255.5,230.43740844726562,17192002
2019-04-16,257.0,257.0,255.5,257.0,231.79025268554688,19652648
2019-04-17,260.0,263.0,259.5,261.5,235.8488006591797,37864191
2019-04-18,264.0,266.0,263.5,264.5,238.55453491210938,38006795
2019-04-19,269.0,269.5,263.5,264.5,238.55453491210938,44658699
2019-04-22,266.5,267.5,265.0,266.0,239.9074249267578,24967393
2019-04-23,266.5,268.0,266.0,268.0,241.71121215820312,25336847
2019-04-24,270.0,270.0,267.5,269.0,242.6131134033203,26449755
2019-04-25,268.5,269.0,267.0,267.5,241.26022338867188,32386724
2019-04-26,262.0,263.0,257.5,260.0,234.4959716796875,47518804
2019-04-29,260.0,262.0,258.5,259.5,234.0449981689453,31126618
2019-04-30,260.0,260.5,258.0,259.0,233.59408569335938,33799419
2019-05-02,261.5,262.5,258.5,259.0,233.59408569335938,27091394
2019-05-03,262.0,265.0,260.5,265.0,239.00550842285156,29840246
2019-05-06,260.0,260.0,258.0,259.0,233.59408569335938,32823187
2019-05-07,259.5,263.0,259.0,262.5,236.750732421875,25686126
2019-05-08,260.0,261.5,259.5,260.0,234.4959716796875,25542364
2019-05-09,259.5,259.5,256.0,256.5,231.33926391601562,33587574
2019-05-10,257.0,259.0,255.0,256.0,230.88832092285156,18617212
2019-05-13,253.0,254.0,249.5,250.5,225.92784118652344,28284535
2019-05-14,247.5,251.0,245.0,248.5,224.12400817871094,45055708
2019-05-15,251.0,252.0,249.0,249.0,224.57498168945312,36825479
2019-05-16,248.5,249.5,246.0,247.0,222.77114868164062,29713519
2019-05-17,249.0,249.0,241.5,241.5,217.81065368652344,38647856
2019-05-20,242.5,243.0,238.0,238.0,214.65399169921875,39157661
2019-05-21,233.5,236.0,232.5,234.0,211.04635620117188,80042775
2019-05-22,236.5,240.5,235.5,238.0,214.65399169921875,34622034
2019-05-23,233.5,233.5,230.0,230.0,207.43875122070312,58752627
2019-05-24,230.0,234.0,230.0,233.0,210.14447021484375,36000789
2019-05-27,234.0,235.0,231.0,231.0,208.3406524658203,35562033
2019-05-28,232.0,232.0,230.5,230.5,207.8896484375,95240033
2019-05-29,228.0,230.5,227.0,229.5,206.98777770996094,26533236
2019-05-30,230.0,231.5,229.0,231.0,208.3406524658203,28500328
2019-05-31,232.0,237.5,231.0,235.5,212.3992462158203,46070338
2019-06-03,235.5,238.5,232.0,238.0,214.65399169921875,31054092
2019-06-04,237.5,238.0,233.0,233.0,210.14447021484375,24443428
2019-06-05,238.0,238.0,234.0,235.0,211.9482421875,29139584
2019-06-06,231.5,232.0,229.5,232.0,209.24258422851562,34651731
2019-06-10,237.5,240.0,234.5,240.0,216.45782470703125,35373888
2019-06-11,240.0,246.0,239.0,244.5,220.51638793945312,31965670
2019-06-12,244.5,247.5,243.0,246.0,221.86927795410156,29675556
2019-06-13,242.5,244.0,240.0,240.0,216.45782470703125,32981724
2019-06-14,238.5,239.5,236.0,236.0,212.8501739501953,31951556
2019-06-17,231.5,235.0,230.5,233.0,210.14447021484375,51017012
2019-06-18,234.0,235.5,233.0,235.5,212.3992462158203,28578087
2019-06-19,242.5,244.0,240.5,244.0,220.06544494628906,50164372
2019-06-20,242.0,245.5,241.0,245.0,220.9673309326172,37836291
2019-06-21,248.0,248.5,246.0,248.5,224.12400817871094,61164304
2019-06-24,241.0,242.0,240.0,241.0,224.58998107910156,43300507
2019-06-25,241.0,241.5,237.0,238.5,222.26022338867188,28559283
2019-06-26,235.0,236.5,234.0,234.5,218.53257751464844,27607041
2019-06-27,236.0,241.5,236.0,240.5,224.1240234375,42007834
2019-06-28,241.5,241.5,238.0,239.0,222.72616577148438,25962203
2019-07-01,245.5,250.0,245.0,248.5,231.57933044433594,66307875
2019-07-02,249.5,250.0,247.5,249.0,232.04525756835938,24181202
2019-07-03,244.0,245.0,242.0,242.5,225.9878387451172,29449774
2019-07-04,244.5,245.0,242.5,244.0,227.38571166992188,17481240
2019-07-05,244.5,245.0,241.5,243.0,226.4538116455078,22867074
2019-07-08,240.0,244.5,240.0,242.5,225.9878387451172,27787909
2019-07-09,241.5,243.0,240.5,242.0,225.52191162109375,16418987
2019-07-10,243.0,247.0,243.0,247.0,230.18145751953125,23812131
2019-07-11,250.0,250.0,247.5,250.0,232.97715759277344,31160289
2019-07-12,252.0,252.0,249.5,250.5,233.443115234375,23479432
2019-07-15,251.0,254.5,249.5,254.5,237.1707305908203,29727300
2019-07-16,254.0,256.5,253.5,256.0,238.568603515625,21361249
2019-07-17,254.0,254.0,251.0,252.0,234.84095764160156,25573648
2019-07-18,252.0,254.5,251.5,254.0,236.70480346679688,20842575
2019-07-19,259.5,261.0,259.0,259.0,241.3643341064453,59709798
2019-07-22,263.0,264.0,262.0,264.0,246.02389526367188,31522639
2019-07-23,265.5,266.5,262.5,264.0,246.02389526367188,29273223
2019-07-24,266.5,266.5,263.0,265.0,246.95584106445312,23734039
2019-07-25,264.0,265.0,261.5,265.0,246.95584106445312,30433545
2019-07-26,261.0,262.5,261.0,261.0,243.22813415527344,20438071
2019-07-29,260.0,262.0,259.5,261.0,243.22813415527344,17509320
2019-07-30,262.5,263.0,260.0,260.0,242.2962646484375,22670612
2019-07-31,260.0,260.0,257.0,259.5,241.83030700683594,31635601
2019-08-01,257.5,257.5,255.5,256.5,239.03456115722656,30017526
2019-08-02,252.0,253.5,250.5,251.5,234.37501525878906,54021644
2019-08-05,251.0,252.0,245.5,246.5,229.71546936035156,51535721
2019-08-06,240.0,250.0,240.0,248.5,231.57933044433594,58625879
2019-08-07,250.0,250.5,246.5,248.0,231.1133575439453,29435460
2019-08-08,248.0,254.0,248.0,253.5,236.2388458251953,29725266
2019-08-12,254.5,254.5,251.0,251.0,233.90908813476562,21794603
2019-08-13,249.0,249.5,246.5,246.5,229.71546936035156,23121107
2019-08-14,252.5,254.0,249.5,249.5,232.51121520996094,35216703
2019-08-15,247.0,248.5,246.0,248.0,231.1133575439453,27624412
2019-08-16,249.5,252.0,248.0,250.0,232.97715759277344,25370715
2019-08-19,251.5,253.0,250.5,252.0,234.84095764160156,24060514
2019-08-20,254.0,254.5,252.5,254.5,237.1707305908203,19960494
2019-08-21,254.5,255.0,253.0,254.5,237.1707305908203,20269296
2019-08-22,257.0,257.5,254.0,254.0,236.70480346679688,21900840
2019-08-23,253.5,254.5,253.0,254.0,236.70480346679688,14166877
2019-08-26,249.0,250.5,248.5,248.5,231.57933044433594,31678620
2019-08-27,250.5,251.0,248.5,250.0,232.97715759277344,50234951
2019-08-28,250.5,253.0,250.5,252.0,234.84095764160156,15132882
2019-08-29,253.0,254.0,251.0,254.0,236.70480346679688,19587767
2019-08-30,256.5,259.0,256.0,259.0,241.3643341064453,35184201
2019-09-02,258.0,258.0,256.0,257.5,239.9665069580078,14614854
2019-09-03,256.5,258.0,253.0,254.0,236.70480346679688,25762495
2019-09-04,254.0,258.0,254.0,257.5,239.9665069580078,22540733
2019-09-05,263.0,263.0,260.5,263.0,245.0919952392578,48791728
2019-09-06,265.0,265.0,263.0,263.5,245.55792236328125,25408515
2019-09-10,263.5,264.0,260.5,261.5,243.69410705566406,29308866
2019-09-11,264.0,264.5,260.5,263.0,245.0919952392578,36196015
2019-09-12,265.0,265.0,261.5,262.5,244.62600708007812,26017293
2019-09-16,262.0,265.5,261.5,265.5,247.42173767089844,32573966
2019-09-17,266.5,266.5,264.5,265.0,246.95584106445312,27600844
2019-09-18,267.0,269.5,266.5,267.0,248.81959533691406,47684759
2019-09-19,268.0,268.0,264.0,265.0,248.8196563720703,25233567
2019-09-20,266.0,266.5,264.0,264.0,247.8806610107422,43868865
2019-09-23,264.0,264.0,263.0,264.0,247.8806610107422,13093208
2019-09-24,263.5,265.5,262.0,265.0,248.8196563720703,24244943
2019-09-25,262.5,266.0,262.0,266.0,249.75856018066406,21003163
2019-09-26,269.0,269.5,266.5,268.0,251.63644409179688,29940103
2019-09-27,271.5,272.5,271.0,272.0,255.39218139648438,41235817
2019-10-01,273.0,280.5,273.0,280.0,262.90374755859375,71743890
2019-10-02,280.0,281.0,279.0,279.5,262.43426513671875,29295953
2019-10-03,274.0,277.5,274.0,276.5,259.617431640625,31890864
2019-10-04,279.5,280.0,275.0,276.5,259.617431640625,35169613
2019-10-07,279.0,279.5,277.5,278.0,261.02587890625,17510230
2019-10-08,283.5,286.5,282.5,286.5,269.0068664550781,35278551
2019-10-09,283.5,286.0,282.0,282.0,264.7816162109375,34777456
2019-10-14,291.5,291.5,288.5,290.0,272.2931823730469,46683517
2019-10-15,293.5,296.0,292.0,293.5,275.5794982910156,38018567
2019-10-16,298.0,298.0,293.5,296.5,278.39630126953125,40297144
2019-10-17,295.0,295.5,292.0,293.5,275.5794982910156,40271938
2019-10-18,293.0,295.5,291.0,293.0,275.1099853515625,45102984
2019-10-21,291.0,291.0,288.5,290.0,272.2931823730469,34634365
2019-10-22,292.5,294.0,291.5,294.0,276.0489501953125,26005020
2019-10-23,293.5,293.5,290.5,293.0,275.1099853515625,28675408
2019-10-24,294.5,294.5,291.0,293.0,275.1099853515625,29040827
2019-10-25,294.5,294.5,292.5,293.5,275.5794982910156,22682711
2019-10-28,295.0,295.5,294.0,294.5,276.51837158203125,20076561
2019-10-29,297.0,298.5,296.5,298.5,280.2741394042969,36682131
2019-10-30,298.5,299.5,296.5,299.5,281.21307373046875,32370342
2019-10-31,300.0,301.5,298.5,298.5,280.2741394042969,40944514
2019-11-01,299.5,299.5,296.5,299.0,280.74365234375,30121678
2019-11-04,302.5,308.0,301.0,307.0,288.2551574707031,44899671
2019-11-05,307.5,310.5,307.0,310.5,291.5414123535156,32201184
2019-11-06,309.0,311.5,308.0,311.0,292.01092529296875,22149743
2019-11-07,310.0,310.0,306.5,309.0,290.133056640625,28291659
2019-11-08,308.5,309.0,305.5,305.5,286.8467102050781,25651542
2019-11-11,305.0,305.0,300.0,301.0,282.6214904785156,35165583
2019-11-12,302.5,305.0,302.0,305.0,286.37725830078125,17540708
2019-11-13,303.0,304.0,301.5,304.0,285.4383544921875,18172438
2019-11-14,304.5,305.0,302.0,303.5,284.9688720703125,15734835
2019-11-15,305.5,307.5,304.5,307.0,288.2551574707031,28848445
2019-11-18,308.5,311.0,307.0,311.0,292.01092529296875,18691325
2019-11-19,312.5,315.0,311.0,315.0,295.7667236328125,31634197
2019-11-20,314.0,314.0,312.0,313.5,294.3583068847656,22387973
2019-11-21,309.5,311.0,307.0,311.0,292.01092529296875,28108833
2019-11-22,310.0,310.5,308.0,309.0,290.133056640625,24737984
2019-11-25,310.5,310.5,307.0,307.0,288.2551574707031,19530177
2019-11-26,310.0,310.5,307.0,307.0,288.2551574707031,101224622
2019-11-27,307.5,311.5,307.5,311.0,292.01092529296875,18467648
2019-11-28,310.0,312.0,308.5,309.5,290.6025085449219,19077982
2019-11-29,309.0,309.5,305.0,305.0,286.37725830078125,30963561
2019-12-02,307.0,308.0,306.5,307.5,288.72467041015625,24016807
2019-12-03,305.0,307.0,305.0,307.0,288.2551574707031,24690319
2019-12-04,305.0,306.0,304.0,306.0,287.3161926269531,25492686
2019-12-05,309.0,312.0,309.0,312.0,292.9498596191406,34521842
2019-12-06,315.0,316.0,311.0,313.0,293.8888244628906,17695703
2019-12-09,314.0,316.5,314.0,316.0,296.7056579589844,23256081
2019-12-10,315.0,315.5,312.5,313.5,294.3583068847656,20570594
2019-12-11,314.0,319.0,313.0,319.0,299.5224609375,31223148
2019-12-12,325.0,334.5,324.0,331.5,311.2592468261719,52742851
2019-12-13,340.0,343.0,338.0,339.0,318.3013000488281,58198939
2019-12-16,336.5,338.5,336.0,336.0,315.4844970703125,102188
2019-12-17,335.0,345.0,335.0,345.0,323.9349670410156,40813458
2019-12-18,341.5,345.0,341.5,344.5,323.4654846191406,39682841
2019-12-19,340.0,342.0,335.0,335.0,316.8448791503906,54888012
2019-12-20,332.0,333.0,328.5,329.0,311.1700134277344,86280459
2019-12-23,329.5,334.0,329.5,334.0,315.8990783691406,26639340
2019-12-24,334.0,334.5,332.0,332.0,314.0074157714844,13488907
2019-12-25,332.0,334.5,331.0,333.0,314.9532165527344,12262954
2019-12-26,333.0,334.0,331.5,333.0,314.9532165527344,11427884
2019-12-27,335.0,338.0,335.0,338.0,319.6822814941406,16677806
2019-12-30,338.0,339.0,334.0,334.5,316.3719177246094,21531263
2019-12-31,331.0,333.5,331.0,331.0,313.0616455078125,22890517
2020-01-02,332.5,339.0,332.5,339.0,320.6280517578125,31754120
2020-01-03,344.0,345.0,335.5,339.5,321.1009521484375,41811268
2020-01-06,333.0,334.5,332.0,332.0,314.0074157714844,45343057
2020-01-07,332.5,333.0,326.5,329.5,311.6429138183594,50879181
2020-01-08,325.0,333.0,325.0,329.5,311.6429138183594,37567748
2020-01-09,335.0,337.5,333.5,337.5,319.2093811035156,31481504
2020-01-10,340.5,341.0,336.0,339.5,321.1009521484375,27032115
2020-01-13,342.0,342.0,339.0,341.5,322.99261474609375,30663332
2020-01-14,345.5,346.0,344.5,346.0,327.24871826171875,30223993
2020-01-15,345.0,345.0,337.5,340.0,321.5738830566406,47434274
2020-01-16,330.0,336.5,330.0,334.5,316.3719177246094,55211420
2020-01-17,334.0,335.5,332.0,333.0,314.9532165527344,52060097
2020-01-20,334.0,335.5,333.0,333.0,314.9532165527344,32658203
2020-01-30,326.0,326.0,316.5,316.5,299.3473815917969,125451049
2020-01-31,323.0,323.5,319.0,320.0,302.6577453613281,62526055
2020-02-03,315.0,316.5,312.0,315.0,297.9287414550781,59560849
2020-02-04,336.5,337.0,325.0,325.0,307.3868103027344,51890496
2020-02-05,329.0,329.5,324.5,327.5,309.7513122558594,36601453
2020-02-06,329.5,332.5,329.0,332.5,314.4803161621094,29267094
2020-02-07,330.0,330.5,326.0,328.0,310.2242126464844,28798327
2020-02-10,321.5,328.0,321.0,327.5,309.7513122558594,30632424
2020-02-11,330.5,332.5,330.0,331.5,313.5345153808594,27524935
2020-02-12,333.5,336.0,333.0,335.0,316.8448791503906,37612639
2020-02-13,338.0,338.0,335.0,335.0,316.8448791503906,22757021
2020-02-14,337.0,337.0,334.5,335.0,316.8448791503906,16933683
2020-02-17,331.5,333.0,330.5,331.5,313.5345153808594,15937079
2020-02-18,324.5,326.5,322.0,322.0,304.54937744140625,61825604
2020-02-19,322.5,327.0,322.0,326.5,308.8055419921875,38781218
2020-02-20,328.0,329.0,325.0,325.5,307.8597106933594,27011736
2020-02-21,325.5,326.5,323.0,325.0,307.3868103027344,22813534
2020-02-24,319.5,321.5,319.5,320.0,302.6577453613281,41693680
2020-02-25,320.0,323.5,317.5,322.0,304.54937744140625,36195011
2020-02-26,317.0,320.5,316.5,318.5,301.2390441894531,60479362
2020-02-27,319.0,320.0,315.0,316.0,298.87457275390625,61250927
2020-03-02,308.0,317.0,308.0,311.0,294.1455078125,79912942
2020-03-03,318.5,320.0,316.0,317.5,300.2932434082031,49679411
2020-03-04,322.0,322.0,317.0,320.5,303.1306457519531,42941146
2020-03-05,325.0,326.0,323.0,323.0,305.4952087402344,37861525
2020-03-06,320.0,320.5,315.0,315.0,297.9287414550781,51546760
2020-03-09,307.5,310.0,305.5,305.5,288.9436340332031,87871277
2020-03-10,301.5,309.0,301.0,307.0,290.3623046875,71950130
2020-03-11,309.0,310.5,302.0,302.0,285.63330078125,62216710
2020-03-12,299.0,299.0,287.0,294.0,278.0668640136719,113527351
2020-03-13,275.0,294.0,272.5,290.0,274.2835998535156,149995148
2020-03-16,285.0,291.0,275.5,276.5,261.5152282714844,103873228
2020-03-17,265.0,276.5,265.0,268.0,253.4759063720703,121323651
2020-03-18,269.5,272.5,260.0,260.0,245.909423828125,117437643
2020-03-19,252.0,253.0,235.5,248.0,236.83705139160156,160811697
2020-03-20,258.5,270.0,256.0,270.0,257.8467102050781,157664726
2020-03-23,257.0,262.5,252.0,255.0,243.52197265625,76466709
2020-03-24,268.0,274.0,266.0,267.5,255.45928955078125,81952933
2020-03-25,276.5,280.0,274.0,277.0,264.5316467285156,79447199
2020-03-26,279.5,280.0,275.5,280.0,267.3966979980469,52845633
2020-03-27,284.0,286.0,273.0,273.0,260.71173095703125,68752306
2020-03-30,263.5,269.0,262.5,267.5,255.45928955078125,49159956
2020-03-31,273.0,274.0,269.5,274.0,261.66668701171875,48837923
2020-04-01,276.5,276.5,271.5,271.5,259.2792663574219,44515034
2020-04-06,273.0,275.5,270.0,275.5,263.0992431640625,56392754
2020-04-07,283.5,284.0,280.5,283.0,270.26165771484375,48787346
2020-04-08,285.0,285.5,283.0,285.0,272.17156982421875,37912826
2020-04-09,287.5,288.0,282.5,283.0,270.26165771484375,27620430
2020-04-10,280.0,282.0,279.0,279.5,266.91912841796875,27252858
2020-04-13,278.5,281.5,278.5,278.5,265.9642028808594,22196596
2020-04-14,281.0,285.5,280.0,285.0,272.17156982421875,48809688
2020-04-15,287.0,288.5,286.0,287.5,274.5590515136719,55216434
2020-04-16,283.0,288.5,283.0,286.5,273.60406494140625,47815280
2020-04-17,303.5,308.5,300.5,306.5,292.7038269042969,116368201
2020-04-20,308.0,309.0,302.5,304.0,290.31634521484375,41381669
2020-04-21,300.5,301.5,293.5,295.0,281.7215270996094,61479357
2020-04-22,294.5,295.0,290.5,294.0,280.7665100097656,42192580
2020-04-23,300.0,300.0,294.0,295.5,282.1989440917969,39474478
2020-04-24,295.5,297.0,294.0,294.0,280.7665100097656,26008090
2020-04-27,298.0,298.5,296.0,298.0,284.58642578125,38493406
2020-04-28,298.5,298.5,294.5,296.5,283.1539306640625,37395165
2020-04-29,299.0,301.5,298.0,299.0,285.54144287109375,44059301
2020-04-30,302.0,305.0,301.5,304.5,290.7938537597656,55126085
2020-05-04,294.5,296.5,294.0,295.0,281.7215270996094,71581861
2020-05-05,296.5,298.0,295.0,295.5,282.1989440917969,23547405
2020-05-06,294.5,296.0,292.5,296.0,282.67645263671875,34240479
2020-05-07,294.5,299.0,294.5,297.5,284.1089782714844,27621198
2020-05-08,300.0,300.0,296.0,297.5,284.1089782714844,32295893
2020-05-11,300.0,301.5,298.5,301.0,287.451416015625,28727019
2020-05-12,297.5,298.5,295.0,295.0,281.7215270996094,52089788
2020-05-13,293.0,297.0,292.5,297.0,283.63140869140625,26156418
2020-05-14,293.0,295.0,292.5,293.0,279.8114929199219,34315948
2020-05-15,297.5,298.5,294.5,298.0,284.58642578125,42494804
2020-05-18,291.0,293.5,290.0,290.0,276.946533203125,84986065
2020-05-19,294.0,294.0,291.5,291.5,278.3789978027344,51250214
2020-05-20,293.0,294.0,291.0,294.0,280.7665100097656,32677994
2020-05-21,296.0,298.0,295.0,297.5,284.1089782714844,30997468
2020-05-22,294.5,295.0,291.0,292.0,278.85650634765625,40192923
2020-05-25,290.5,293.0,288.5,292.0,278.85650634765625,26803223
2020-05-26,295.0,297.5,293.5,295.5,282.1989440917969,33856481
2020-05-27,297.0,298.0,295.5,296.5,283.1539306640625,23375959
2020-05-28,298.5,298.5,293.0,294.0,280.7665100097656,28444568
2020-05-29,292.0,292.5,290.0,292.0,278.85650634765625,79774181
2020-06-01,294.0,296.5,293.5,295.5,282.1989440917969,35811214
2020-06-02,296.0,297.5,296.0,296.5,283.1539306640625,24771587
2020-06-03,300.0,301.0,298.0,301.0,287.451416015625,65176337
2020-06-04,305.0,306.0,304.0,306.0,292.2263488769531,46572451
2020-06-05,308.5,312.0,308.0,311.5,297.4787902832031,42981262
2020-06-08,316.0,319.0,315.0,318.0,303.6861877441406,50302921
2020-06-09,316.5,319.0,314.0,319.0,304.64117431640625,36417082
2020-06-10,319.0,324.0,318.0,322.5,307.9836120605469,39984259
2020-06-11,325.5,327.0,318.5,320.5,306.0736389160156,50104255
2020-06-12,313.0,317.5,312.5,316.0,301.7762451171875,45992918
2020-06-15,316.0,317.5,308.5,309.5,295.56878662109375,51032404
2020-06-16,317.0,317.0,314.0,315.0,300.82122802734375,36608216
2020-06-17,316.5,317.0,313.5,315.0,300.82122802734375,34522968
2020-06-18,314.5,315.0,313.0,314.5,302.74652099609375,29044474
2020-06-19,314.0,314.5,312.0,314.5,302.74652099609375,48130280
2020-06-22,314.5,316.5,312.0,312.0,300.33990478515625,37374616
2020-06-23,316.0,316.5,312.5,315.0,303.2278137207031,41300084
2020-06-24,319.0,320.0,316.0,317.5,305.6344299316406,54147024
2020-06-29,314.0,315.0,310.0,312.0,300.33990478515625,56580892
2020-06-30,313.5,314.0,311.0,313.0,301.3025817871094,48991860
2020-07-01,315.0,318.0,314.0,317.5,305.6344299316406,29532342
2020-07-02,319.0,322.0,318.0,322.0,309.96624755859375,34526178
2020-07-03,327.0,330.5,326.5,329.5,317.1859436035156,53341987
2020-07-06,332.5,338.0,332.0,338.0,325.3682556152344,57256220
2020-07-07,343.5,346.0,338.0,338.5,325.849609375,59046323
2020-07-08,337.5,342.5,337.5,341.0,328.25616455078125,30720218
2020-07-09,346.0,347.0,343.0,345.0,332.1066589355469,35522376
2020-07-10,352.5,353.0,345.5,348.5,335.475830078125,60902108
2020-07-13,351.0,354.5,350.5,354.5,341.2515869140625,48069523
2020-07-14,355.0,364.0,354.5,363.5,349.915283203125,61764150
2020-07-15,366.0,370.0,361.0,363.0,349.4339904785156,73438362
2020-07-16,359.0,361.0,353.5,357.5,344.1395263671875,68220512
2020-07-17,361.0,369.0,360.0,367.0,353.2844543457031,65727485
2020-07-20,370.0,370.0,362.5,366.0,352.3218078613281,42769238
2020-07-21,372.5,387.0,371.5,383.0,368.6865539550781,64219128
2020-07-22,381.0,386.0,379.0,384.0,369.6492004394531,43759670
2020-07-23,382.0,383.0,379.0,381.5,367.2425842285156,45209282
2020-07-24,390.0,395.0,382.0,386.0,371.57440185546875,86682734
2020-07-27,420.5,424.5,416.5,424.5,408.6355895996094,99333798
2020-07-28,464.0,466.5,428.5,435.0,418.74322509765625,166307746
2020-07-29,428.0,431.5,419.5,422.0,406.2290344238281,85663166
2020-07-30,436.5,441.0,428.5,434.0,417.7805480957031,69293949
2020-07-31,426.0,432.0,425.5,425.5,409.59820556640625,49897674
