date,title,news
2022/08/31,專家示警：美經濟恐衰退到2024,<p>美國經濟學家、前摩根士丹利亞洲區主席羅奇（Stephen Roach）指出，美國經濟最糟的狀況還未到，今年上半經濟呈現負成長，可能正預告一場持續到2024年的更嚴重衰退即將來臨。他提到，唯有出現「奇蹟」，美國經濟才能避免衰退。</p><p></p><p>受市場擔心持續大幅升息將把經濟帶入衰退深淵的衝擊，美股周二開小高盤後隨即又翻黑，道瓊工業指數下跌285點或0.9％，標普5百指數跌破4千點大關，大跌1.1％，那斯達克則摜破1萬2千點，跌1.2％。</p><p></p><p>羅奇周一接受CNBC節目訪問時指出，「隨著重大貨幣緊縮開始啟動，所帶來的後續影響使我們確定將有一場衰退。如今這些影響尚未完全浮現。」</p><p></p><p>羅奇表示，聯準會（Fed）主席鮑爾別無選擇，只能採取前主席伏克爾（Paul Volcker）的緊縮貨幣政策方法。1980年代初期，伏克爾為了遏止失控的通膨而激進地升息。</p><p></p><p>身為耶魯大學資深研究員、前Fed經濟學家的羅奇指出，「這將會重現當初伏克爾為壓制通膨使美國經濟承受的痛苦，當時失業率衝破10％。」</p><p></p><p>他說：「如今不要重蹈覆轍的唯一方式，就是鮑爾必須信守諾言，聚焦於紀律，讓實質Fed基金利率進入限制性區域。而目前我們距離限制性區域還很遠。」</p><p></p><p>在Fed急速調升利率之際，美失業率仍位在3.5％的1969年以來低點。不過本周五揭曉的8月就業報告，情況可能有所改變。</p><p></p><p>羅奇預測，失業率會開始上揚，未來將升至5％以上，甚至不排除衝破6％的可能。</p><p></p><p>他認為，最終的關鍵在消費者身上。有鑑於通膨居高不下，人們不久後就會屈服而緊縮開銷，消費者支出縮減將反映在更廣泛的經濟上，進而打擊就業市場，「預測經濟（國內生產毛額）累計萎縮約1.5～2％，失業率至少增加1到2個百分點，這將是一般性衰退（garden variety recession）」。</p>
2022/08/31,經濟部揪超商挺國軍 憑證最高打5折,<p>九三軍人節到來，經濟部商業司與國防部合作，推出九三軍人優惠活動，包括四大連鎖超商、餐廳、伴手禮及外帶好味等通路店家給予打折或買1送1好康，像是7-11超商全品項打85折，其他大型連鎖餐飲MOS漢堡、欣葉集團等只要憑軍人證就給9折優惠。</p><p></p><p>過去經濟部並未配合進行軍人節商業促銷，這次特別大動作舉辦，表示是要向辛勞的三軍將士們致敬。</p><p></p><p>經濟部商業司找了四大超商1.3萬多個據點，提供商品打折優惠，其中7-11從9月2日到4日，出示軍人證全品項打85折；全家9月2日到4日間，特選多項商品祭出最低5折優惠，以及特定巧克力雪糕、特定鹼性水、多項飲料與零食等商品買1送1等優惠活動。</p><p></p><p>萊爾富9月3日軍人節當天，只要出示軍人相關證件就可享受特定優惠，例如大杯美式咖啡2杯55元、多項飲料加5元、10元多一件，最低折扣甚至買1送1。</p><p></p><p>OKmart則是9月3日到5日期間，只要出示軍人證、福利證或穿正式軍裝3選1，享購買大杯美式咖啡買1送1優惠，指定飲料最優特價6折。</p><p></p><p>伴手名品新東陽有品牌產品打9折，MOS漢堡、欣葉集團推出憑證9折優惠、饗賓集團旗下5大品牌也提供多種優惠，包含消費93折或滿千送禮。</p><p></p><p>其他尚有鬥炙原味炙燒牛排、聚德家豐味鍋物、丐幫滷味、Nice Nine雙醬咖哩等多家連鎖餐飲，憑軍人證到店消費享專屬優惠。</p>
2022/08/31,《國際經濟》又創高 歐元區8月通膨飆升9.1%,<p>周三官方公布的初值數據顯示，歐元區八月的消費者物價指數(CPI)從七月的8.9%年增率，進一步升高到9.1%，續創高，也高於路透的9%預期。此也進一步鞏固了歐洲央行(ECB)大幅升息的依據。</p><p></p><p>能源價格仍是主要驅動力，但食品價格也升至雙位數的上漲；ECB特別關注的非能源產品價格飆升5%。</p><p></p><p>剔除波動較大的食品和燃料價格，核心通膨率從5.1%升至5.5%。該指數受到密切關注，顯示物價快速增長，已經在整個經濟中蔓延開來。</p><p></p><p>而進一步剔除酒類和菸草的通膨率則從上個月的4.0%升到4.3%。</p><p></p><p>義大利裕信銀行在最新一份簡報表示，隨著德國的能源紓困措施到期，通膨率在下個月可能強勁攀高，逼近10%。</p><p></p><p></p><p></p><p>即便在冬季供暖季開始之前，飆升的能源價格以及德國部分補貼措施的取消，幾乎肯定會使通膨在今年底見頂之前，繼續攀升，甚至超過10%。</p><p></p><p></p>
2022/08/31,刺激經濟 大陸投資2100億人民幣基礎建設,<p>中國國家開發銀行近日表示，截至8月26日，國開基礎設施投資基金已簽約422個項目、合同金額2100億元（人民幣，下同）。上周末，大陸國務院穩住經濟大盤督導和服務組也在鄭州召開現場辦公會，針對基礎設施、重點工程、民生保障等項目建設開展現場協調和服務。</p><p></p><p>據《科創板日報》報導，累計投資2100億元的國開基礎設施投資基金，是國開行今年7月分設立的專門支持重大項目建設的開發性金融工具。重點支持網路型基礎設施等五大基礎設施重點領域，以及重大科技創新、職業教育等領域的422個項目。</p><p></p><p>廣科諮詢首席策略師沈萌表示，作為國家政策性銀行，國開行設立投資基金，有利於推動和保障國家對於基礎建設政策的實施，讓資金落實到最後具體環節。「而重大科技創新也同樣是新型基礎設施投資的支持保障目標，職業教育則是配套進行新型基礎設施對高素質人力資源需求的服務。」</p><p></p><p>在沈萌看來，目前中國極度缺少高素質職業人才，導致無法推動經濟、特別是工業轉型升級，或者說即使推進新型基礎設施項目建設，也缺少配套的專業技術人才。因此，政策性資金在職業教育上進行投資，顯得尤為重要，代表性也最強。</p><p></p><p>至於科技創新，沈萌認為，科技創新是一件長周期之事，而政策性銀行的定位和作用，就是進行長周期基礎性的科技創新支持。</p><p></p><p>報導稱，在基礎設施投資上，政策性基金出資13.07億元，支持山西省呼北國家高速公路山西離石至隰縣段工程項目和河南安陽豫東北機場項目，而這是國開基礎設施基金有限公司成立後完成的首批投放。</p><p></p><p>國開基礎設施基金有限公司成立於今年7月，主要加大對企業的信貸支持。該支基金由國開行100％持股，張輝為法定代表人。除國開基礎設施基金以外，張輝還是國開發展基金的法定代表人，並且與前者一樣均是國開行100％持股。</p><p></p><p>對於國開基礎設施基金誕生的目的，國開行曾表示，要用好政策性銀行新增信貸和基礎設施建設投資基金，助力穩經濟大盤。</p><p></p><p>報導稱，在剛剛發布的國開行上半年6212億元新增貸款報告中，能源、交通、水利、地下綜合管線等基礎設施，均是國開基礎設施基金長期信貸支持的對象。此外，國開行還發行了120億元綠色金融債券，專項支持長江流域生態系統保護和修復。</p>
2022/08/31,DEPA宛如數位版WTO 陸學者籲：應盡早加入主導規則制度,<p>《數位經濟夥伴關係協定》（DEPA）日前決定成立中國加入DEPA工作組，北京大學經濟學院教授曹和平表示，DEPA有點像是數位版的世貿組織（WTO），中國數位經濟規模和技術都有一定國際競爭力；中國一定要盡早積極加入，應該成為規則的發起國，而不是規則的跟隨國。</p><p></p><p></p><p></p><p>曹和平在大陸觀察者網撰文指出，近年，數位經濟為世界經濟發展增添新動能。2021年，全球47個國家數位經濟增加值規模為38.1兆美元，同比名義增長15.6％，占GDP比重為45％。規模上，美國數位經濟位居世界第一，規模達到15.3兆美元，中國位居第二，規模為7.1兆美元。</p><p></p><p></p><p></p><p>他稱，2021年，大陸數位經濟規模為45兆元，占國內生產總值比重為39.8％，年均增速高達15.9％，對GDP的平均增長貢獻大約在1.5個百分點。按照現在速度，預測在2027年，數位經濟占比將超過大陸國內生產總值一半，達到51％。</p><p></p><p></p><p></p><p>曹和平認為，數位經濟占世界經濟比重約45％，各國亟需建立數位經濟夥伴關係來規範數位貿易，對後續可能出現的仲裁、對接、稅收等情況制定規則，溝通越順暢，可信度越高，交易成本就越低。對此，中國外貿企業必須加快產業數位化，數位經濟貿易將成為未來主要趨勢。</p><p></p><p></p><p></p><p>他也提醒，隨著數位經濟發展壯大，勢必壓縮傳統外貿的利潤，企業能夠出口的產品和服務也會減少。外貿企業要學會數位化升級，瞭解數位經濟，參與數位經濟，學習數位經濟，團隊做好數位化知識的準備。</p><p></p><p></p><p></p><p>曹和平強調，DEPA是全球首個涵蓋數位經濟問題的專項協定，DEPA有點像是數位版的WTO，現在處於前身或者醞釀階段，目前是夥伴關係，後續可能成為常設機構，發展為多國參與組織、管理和運營，這樣一來，DEPA的生命力就很強了，很有可能是數位世界貿易組織的初期形式。</p><p></p><p></p><p></p><p>他呼籲，中國一方面積極申請加入DEPA，另一方面應該快速發展數位經濟價值化的技術─採集、存儲、計算、管理、應用，中國應該儘早做出來流程，形成模式，把它們以智慧財產權的方式進行貿易，不僅將數位資源價值化，更要在數位處理技術上領先，不僅貢獻中國模式，還能貢獻中國領先的數位處理技術。</p>
2022/08/31,SEMI：2028年全球汽車電子市場規模破4千億美元,<p>全球汽車電子、車用晶片發展備受關注，SEMI預估到2028年，全球汽車電子市場規模將突破4000億美元，年複合成長率達7.9％，SEMI全球行銷長暨台灣區總裁曹世綸指出，汽車科技的發展，勢必是朝向智慧化及電動化方向前進，從引擎到電源晶片，相關製造仰賴半導體晶片以及相關電子零件的需求日漸提高。</p><p></p><p></p><p></p><p>曹世綸說，協助台灣業者加速市場開發，SEMI將持續積極廣納全球資源、連結汽車產業鏈，以有效平衡車用晶片的有限產能，優化供需兩端、強化供應鏈韌性。</p><p></p><p></p><p></p><p>SEMICON Taiwan 國際半導體展首度於今年推出「全球汽車晶片高峰論壇」，將於9月14日攜手經濟部與福斯汽車、電裝 (Denso)、佛吉亞 (FORVIA Faurecia)、博世 (BOSCH)、鴻海科技集團、英飛凌 (Infineon)和瑞蕯 (Renesas)、日月光半導體等國際級企業，以「晶片，驅動汽車產業顛覆式創新」為題，鏈結全球車用半導體與汽車產業生態圈，探討產業發展趨勢與車用創新智能解決方案、掌握新世代商機。</p><p></p><p></p><p></p><p>經濟部部長王美花表示：「台灣是全球半導體最重要的製造基地之一，匯聚全面的產業供應鏈，一直以來充分支援著各國的半導體設計與製造需求，與各國合作形成緊密互惠互利的國際生態圈，也造就了現今證實最有效的生產模式。經濟部藉由擔任SEMICON Taiwan 2022 全球汽車晶片高峰論壇的指導單位，盼與SEMI攜手整合台灣供應鏈資源，全力推動產品開發及創新技術進程，藉以繼續鞏固台灣之於全球的關鍵地位。」</p>
2022/08/31,Q4升息有望趨緩 有利REITs反攻,<p>REITs產業負債比來到歷史低點，升息對REITs影響已不如過往，法人指出，預期第四季聯準會積極升息動能將趨緩，有利REITs展開反攻。</p><p></p><p>路博邁投資也表示，REITs具有些特性，在經濟成長活絡的環境，房地產常可締造良好表現；在經濟成長下行的環境，房地產具防禦性；而在物價飆漲的環境，房地產可抗通膨。因此，若投資人擔心經濟成長趨緩、通膨居高不下及可能伴隨而來的龐大不確定性，基於各項特性，將使得REITs更顯吸引力。</p><p></p><p>元大全球不動產證券化基金研究團隊表示，目前全球REITs殖利率仍有3.9％的水準，受疫情影響的部分行業如零售、辦公室等，普遍的股利發放率皆低於長期平均。</p><p></p><p>預期未來將陸續恢復股利配發政策，也是REITs市場的利多，以長期投資角度而言，評價上升空間值得市場期待。</p><p></p><p>REITs市場的中長期趨勢雖未改變，相對高通膨的環境將維持更長一段時間，加上疫後復甦題材仍未完全發酵，都將持續推動不動產資產價格上揚的表現。</p><p></p><p>台新北美收益資產證券化基金經理人李文孝同樣表示，雖然股市表現仍受到升息所干擾，但估計第三季通膨見高機率大，因大宗商品已高檔回落超過10％，實體面物價遞延一季左右，而且在過去十年內，REITs在歷經去槓桿與資本累積下，整體財務體質更為強勁，REITs產業負債比亦來到歷史低點，升息對REITs影響已不如過往。</p><p></p><p>法人認為，第四季聯準會積極升息動能將趨緩，有利REITs展開反攻，建議逢低分批布局美國REITs。</p>
2022/08/31,《國際經濟》日7月經濟數據優 工業生產連2增、零售銷售連5升,<p>日本上個月景氣不差，除了零售銷售連5個月上揚外，工業生產也連續兩個月增加，雙雙跌破市場眼鏡。</p><p></p><p>在日本汽車以及一般機械設備產量提升下，經季節性因素調整後的當地7月工業生產，月增1%，比市場預估會減少0.5%要好很多，但明顯較6月成長9.2%要遜色不少。</p><p></p><p>專家學者認為，沒想到被看衰的日本7月工業生產，月增率還會上升，其中最大功臣就是汽車，還有用來生產其它產品供民眾消費的資本財，像是車床或電器設備等。而從2022年春天開始，中國大陸嚴格抗疫加上半導體與零組件短缺，一些供應鏈斷鏈問題似乎有解。</p><p></p><p></p><p></p><p>與6月大增11.6%相比，7月電子零件與裝置的產量卻大降9.2%，主要是記憶體晶片產出下降。同時，減幅也創下自2013年2月此資料開始編撰以來最大。</p><p></p><p>30日，全球銷售量最多的汽車製造商豐田汽車表示，自己7月全球汽車產量年減8.6%，已連續4個月未達標。不過，經日本政府查訪後，當地製造業者樂觀認為，8月產出可望增5.5%，9月也應該可望再成長0.8%。</p><p></p><p>另外，日本7月零售銷售優於預期，年增2.4%且寫下連5個月上揚的佳績。同時，也比市場預估值1.9%要好。其中，得歸功於各項藥品，以及盥洗用品熱銷。</p><p></p><p></p>
2022/08/31,《國際經濟》英國零售商品價揚 通膨明年初見頂,<p>英國零售商協會(BRC)在周三指出，截至今年八月底的12個月中，英國商店和超市的商品價格上漲5.1%，為2005年有該紀錄以來最大漲幅，反映出俄烏戰爭帶來的食品成本飆升。</p><p></p><p>BRC說，戰爭推升了動物飼料、化肥、小麥和植物油的價格，讓牛奶、奶油、薯片等價格上漲，導致八月食品價格上漲9.3%；而在七月則為上漲7.0%。</p><p></p><p>負責編制該調查的Mike Watkins說，預計食品價格還會上漲6個月，但供應鏈中的部分成本壓力可望開始緩解。「然而隨著能源成本再度飆升，今年秋季可支配所得將進一步下滑，零售支出在第四季將面臨壓力」。</p><p></p><p>自去年12月以來，英國央行已經升息六次。英國央行正在關注通膨會持續多久。</p><p></p><p></p><p></p><p>另外高盛經濟學家在周二指出，如果天然氣價格降不下來，英國明年初的通膨將見頂超過20%，達到22.4%。</p><p></p><p>英國能源監管單位在上周指出，十月起家庭的能源帳單將增加80%，百萬個貧困家庭機陷入燃料困境，企業也會處於風險中。</p><p></p><p>花旗經濟學家在上周也提出類似預測，認為英國明年一月的CPI將見頂，達到18.6%，為英國央行目標的9倍多。</p><p></p><p></p>
2022/08/31,《國際經濟》能源危機加劇 俄羅斯再斷氣72小時,<p>俄羅斯最新宣布，從周三開始繼續暫停北溪一號對歐洲的天然氣輸送。此決定再次升高了德國陷入衰退和實行能源配給制的風險。</p><p></p><p>俄羅斯天然氣工業(Gazprom)稱，北溪一號進行維護，從8月31日(周三)當地凌晨2點到9月2日凌晨2點將不會有天然氣輸出。</p><p></p><p>Gazprom上周宣布北溪一號進行三天維修，原定在本周三(31日)清晨恢復營運。</p><p></p><p>歐洲各國政府此前一直擔心俄羅斯將延長中斷供應的時間。</p><p></p><p>與七月時進行10天的維修工作不同，此次的維修工作是由Gazprom執行，而不是由西方國家的北溪公司(Nord Stream AG)進行。</p><p></p><p>Gazprom說，需要對管線中的壓縮機進行維護保養，因此需要停機。</p><p></p><p></p><p></p><p>自俄羅斯在烏克蘭發起軍事行動以來，俄羅斯完全切斷了對保加利亞、丹麥、芬蘭、荷蘭和波蘭的天然氣供應，並透過其他管線減少了天然氣供應。</p><p></p><p>北溪一號經由波羅的海通往德國，是俄羅斯天然氣輸往德國的最重要管線。</p><p></p><p>此進一步的限制供應，將導致能源危機進一步加劇。歐洲能源危機已使天然氣批發價格飆升逾400%，並給消費者和企業帶來痛苦的生活成本危機，並迫使各國政府花費數十億美元減輕負擔。</p><p></p><p></p>
