,日期時間,標題,連結
0,2022/08/27 20:49,德保拉9局沒投完沒關係：老天自有安排,https://www.ettoday.net/news/20220827/2325917.htm
1,2022/08/27 20:47,快訊／國5北上30.8K遊覽車「突然急煞」　3人受傷送醫,https://www.ettoday.net/news/20220827/2325919.htm
2,2022/08/27 20:47,睡覺一半2蒼蠅鑽進耳朵！他掛急診見10條蛆「耳道鑽動」嚇壞,https://www.ettoday.net/news/20220827/2325893.htm
3,2022/08/27 20:43,快訊／鄭寶清宣布參選桃園市長　四腳督正式成形,https://www.ettoday.net/news/20220827/2325903.htm
4,2022/08/27 20:34,韓國銀行「強盜殺人案」　凶嫌時隔21年落網,https://www.ettoday.net/news/20220827/2325914.htm
5,2022/08/27 20:33,好兄弟收假！基隆老大公廟「關龕門」　鷄籠中元祭圓滿落幕,https://www.ettoday.net/news/20220827/2325908.htm
6,2022/08/27 20:31,大陸多地出招救房市　四川眉山：團購新房百套以上優惠購房款5%,https://www.ettoday.net/news/20220827/2323818.htm
7,2022/08/27 20:30,花蓮王祖賢哺乳PO網　遭酸「露奶拖小孩下水」傻眼：不乏年長女性,https://www.ettoday.net/news/20220827/2325895.htm
8,2022/08/27 20:28,白癡公主遭批「做作」吐心聲！　曝人生最大規劃,https://www.ettoday.net/news/20220827/2325901.htm
9,2022/08/27 20:27,吸管喝水「感覺有東西在動」！沛莉吐出一看嚇爆：以後不用不鏽鋼,https://www.ettoday.net/news/20220827/2325911.htm
10,2022/08/27 20:27,殯儀館搭訕漂亮妹子！他回家「車內瀰漫燒焦味」　驚見副駕窗浮托腮人臉,https://www.ettoday.net/news/20220827/2325881.htm
11,2022/08/27 20:27,潘傑楷開轟砲打樂天　統一中止對戰8連敗,https://www.ettoday.net/news/20220827/2325871.htm
12,2022/08/27 20:18,快訊／三重12層大樓「工地大火」火舌竄天　雲梯車高空灌救,https://www.ettoday.net/news/20220827/2325909.htm
13,2022/08/27 20:18,江坤宇罕見動怒！周思齊一棒逆轉幫出氣　德保拉好投MVP,https://www.ettoday.net/news/20220827/2325907.htm
14,2022/08/27 20:14,男大生夜衝陽明山遭罰18萬！出面喊冤：沒看到警察　攔檢畫面曝光,https://www.ettoday.net/news/20220827/2325904.htm
15,2022/08/27 20:08,致肝癌劇毒是它！易汙染4類食物「白飯也中了」　發霉切掉沒用,https://www.ettoday.net/news/20220827/2322556.htm
16,2022/08/27 20:07,快訊／台大女子宿舍發生「墜落事件」　20多歲女子送醫無生命跡象,https://www.ettoday.net/news/20220827/2325905.htm
17,2022/08/27 19:59,兄弟鄉民牆留言：你們的打擊比Josh家的窗簾破　球員打臉啦,https://www.ettoday.net/news/20220827/2325891.htm
18,2022/08/27 19:57,3招搞定「網紅甜點烤牛奶」！減糖配方最健康、不膩口,https://www.ettoday.net/news/20220827/2324915.htm
19,2022/08/27 19:45,《華爾街日報》：「國際原子能總署」下周視察扎波羅熱核電廠,https://www.ettoday.net/news/20220827/2325899.htm
20,2022/08/27 19:44,數位發展部成立！他見「多元宇宙科」驚呆：奇異博士來任職？,https://www.ettoday.net/news/20220827/2325898.htm
21,2022/08/27 19:43,江坤宇被主審「拉掉」罕見生氣比讚　周思齊一棒清壘幫出氣,https://www.ettoday.net/news/20220827/2325900.htm
22,2022/08/27 19:42,快訊／「武界5失聯」最後1領隊今晚7點救出！,https://www.ettoday.net/news/20220827/2325897.htm
23,2022/08/27 19:30,拉法醫「妨害秘密」案獲判無罪！帆宣民事損害賠償訴訟均遭駁回,https://www.ettoday.net/news/20220827/2325896.htm
24,2022/08/27 19:27,S2O主辦瞎扯「被陰了」完蛋了！　文化部三度反擊：關說也沒用,https://www.ettoday.net/news/20220827/2325894.htm
25,2022/08/27 19:20,夏立言返台基進黨接機抗議喊「台奸」　國民黨2問：你們又做了什麼？,https://www.ettoday.net/news/20220827/2325892.htm
26,2022/08/27 19:20,瘋狂粉絲找到他家「狂按門鈴」　周興哲受驚...忍不住喊話了,https://www.ettoday.net/news/20220827/2325878.htm
27,2022/08/27 19:18,她揭林智堅論文案因助理1舉動而起　點名5人才是「毀林小組」,https://www.ettoday.net/news/20220827/2325875.htm
28,2022/08/27 19:17,令人髮指！《流星花園》男星發狂暴打孕妻　官媒發聲：依法嚴懲施惡者,https://www.ettoday.net/news/20220827/2325890.htm
29,2022/08/27 19:11,一出生就存！3寶年領18萬股利　爸爸公開「傳家股名單」,https://www.ettoday.net/news/20220827/2324878.htm
30,2022/08/27 19:10,柬埔寨再救40豬仔！台籍人蛇主管落網　殘忍「虐豬」手段曝光,https://www.ettoday.net/news/20220827/2325844.htm
31,2022/08/27 19:09,戴資穎斬獲世錦賽銅牌　下週仍重返世界球后寶座推升新紀錄,https://www.ettoday.net/news/20220827/2325888.htm
32,2022/08/27 19:09,Apple看新衣嚇到「胸口怎有一個洞」！一穿上…超辣效果讓網high翻,https://www.ettoday.net/news/20220827/2325886.htm
33,2022/08/27 19:05,夏立言「出訪坦蕩蕩」：有心人士刻意抹黑　政府不感謝反打擊？,https://www.ettoday.net/news/20220827/2325887.htm
34,2022/08/27 19:04,呂捷重砲轟「慎殺≠廢死」！3論點萬人讚爆：路人沒權力談原諒,https://www.ettoday.net/news/20220827/2325868.htm
35,2022/08/27 18:59,柯志恩批廢死是「民進黨第三張神主牌」　點名陳其邁表態,https://www.ettoday.net/news/20220827/2325854.htm
36,2022/08/27 18:57,「選票別浪費給侯友宜」　林佳龍轟：出售社宅對不起新北市青年,https://www.ettoday.net/news/20220827/2325861.htm
37,2022/08/27 18:56,NBA港湖狂灌16分晉級U10決賽　冠軍賽強碰傳統勁旅龜山國小,https://www.ettoday.net/news/20220827/2325884.htm
38,2022/08/27 18:54,「不遺憾清單」80歲嬤晚了60年婚紗照　實現無憾就是美,https://www.ettoday.net/news/20220827/2325882.htm
39,2022/08/27 18:53,第九屆酷兒影展開幕　軍中虐戀《士兵與軍官》創完售紀錄,https://www.ettoday.net/news/20220827/2325880.htm
40,2022/08/27 18:52,一日連贏2支冠軍熱門　三峽社區闖U12組冠軍戰自喻下關高校,https://www.ettoday.net/news/20220827/2325883.htm
41,2022/08/27 18:49,沈慧虹提育兒政策加碼　蔡英文肯定：她能延續林智堅施政,https://www.ettoday.net/news/20220827/2325873.htm
42,2022/08/27 18:46,男友付傢俱家電錢「分手討房子一半所有權」　她崩潰：情侶別買房,https://www.ettoday.net/news/20220827/2325759.htm
43,2022/08/27 18:45,烏克蘭總統澤倫斯基親自改劇本！　《格列佛》絕美海戰震撼大銀幕,https://www.ettoday.net/news/20220827/2325874.htm
44,2022/08/27 18:44,陳令韜回網友「沒騙孟美岐」　工作室怒罵渣男翻臉：難道狗說的？,https://www.ettoday.net/news/20220827/2325853.htm
45,2022/08/27 18:43,雲林祖父母節盛大舉行　祖孫互動幸福場面熱鬧溫馨,https://www.ettoday.net/news/20220827/2325866.htm
46,2022/08/27 18:41,午後對流旺盛！台中大里突下冰雹雨　民眾驚呼喊：不可思議,https://www.ettoday.net/news/20220827/2325879.htm
47,2022/08/27 18:41,周星馳御用配音員「石班瑜」暴瘦近況曝光！　罹病住院1個月嗓子啞了,https://www.ettoday.net/news/20220827/2325816.htm
48,2022/08/27 18:37,「雨都」基隆水情9／3亮黃燈　停供噴水池、澆灌及洗街非必要用水,https://www.ettoday.net/news/20220827/2325876.htm
49,2022/08/27 18:36,南韓「同性夫夫」健保登記敗訴！他探討家庭組成要件：為人權而戰,https://www.ettoday.net/news/20220827/2325585.htm
50,2022/08/27 18:35,快訊／戴資穎惜敗陳雨菲無緣決賽　連2屆世錦賽奪牌仍是台灣第一人,https://www.ettoday.net/news/20220827/2325846.htm
51,2022/08/27 18:34,S2O直擊／活動前一天「11大咖不來了」　攤販嘆：人潮比前年差多了！,https://www.ettoday.net/news/20220827/2325877.htm
52,2022/08/27 18:34,Gino擺攤S2O音樂祭「揮汗叫賣煎餃」！吐心聲「希望不要有影響」,https://www.ettoday.net/news/20220827/2325663.htm
53,2022/08/27 18:26,葉總思考林凱威使用時機：不能好用一直用,https://www.ettoday.net/news/20220827/2325867.htm
54,2022/08/27 18:24,夏立言下午返台直奔防疫旅館　基進黨衝機場圍堵「接機抗議」,https://www.ettoday.net/news/20220827/2325824.htm
55,2022/08/27 18:23,她開車1小時到公司　回頭驚見「半裸陌生男子」全程都在後座,https://www.ettoday.net/news/20220827/2325814.htm
56,2022/08/27 18:18,批柬埔寨受害者「黑數很大」　蔣萬安競辦嗆：政府別玩數字遊戲！,https://www.ettoday.net/news/20220827/2325870.htm
57,2022/08/27 18:15,台南海安餐酒一條街　8／26起展開活動序幕「30店家共同行銷」,https://www.ettoday.net/news/20220827/2325869.htm
