,日期時間,標題,連結
0,2022/08/27 23:54,紅葉谷綠能溫泉園區今開幕　雲品攜手台泥年拚10萬觀光人次,https://www.ettoday.net/news/20220827/2325966.htm
1,2022/08/27 19:30,拉法醫「妨害秘密」案獲判無罪！帆宣民事損害賠償訴訟均遭駁回,https://www.ettoday.net/news/20220827/2325896.htm
2,2022/08/27 19:11,一出生就存！3寶年領18萬股利　爸爸公開「傳家股名單」,https://www.ettoday.net/news/20220827/2324878.htm
3,2022/08/27 17:58,力麗與經濟部簽定行政契約　開發300MW離岸風力！,https://www.ettoday.net/news/20220827/2325849.htm
4,2022/08/27 17:23,上班族員工福利滿意度僅5.4分！　求職平台點出致勝關鍵,https://www.ettoday.net/news/20220827/2325841.htm
5,2022/08/27 17:22,平台「浪LIVE」健身企劃大PK！請來AKB48甩香汗　5萬紅包獎落誰家,https://www.ettoday.net/news/20220827/2325842.htm
6,2022/08/27 16:47,百貨改裝新櫃登場吸客　秋季新時尚＋家居美學提前備戰周年慶,https://www.ettoday.net/news/20220827/2325821.htm
7,2022/08/27 16:23,修老樹長新枝　光洋科引SAP促數位轉型,https://www.ettoday.net/news/20220827/2325811.htm
8,2022/08/27 15:37,台灣東洋捲袖下田助永續！總座侯靜蘭曝：已認購萬斤無毒稻米捐弱勢,https://www.ettoday.net/news/20220827/2325785.htm
9,2022/08/27 15:03,鴻海拋淨零「四大招」朝永續邁進　洪榮聰曝：從日常生活開始落實！,https://www.ettoday.net/news/20220827/2325766.htm
10,2022/08/27 15:00,「雨都」基隆水情吃緊！　水利署3招拯救新山水庫,https://www.ettoday.net/news/20220827/2325762.htm
11,2022/08/27 14:46,光禹獲准參與投資台灣方案　擬砸5億將「全息投影」導入嘉義文創園區,https://www.ettoday.net/news/20220827/2325755.htm
12,2022/08/27 13:43,外資本周買賣超前10名揭曉　大砍台新金逾8.1萬張,https://www.ettoday.net/news/20220827/2325719.htm
13,2022/08/27 12:38,曾排隊搶喝！哪家飲料店「爆紅卻突倒光？」　網點名它：紅茶超香,https://www.ettoday.net/news/20220827/2325080.htm
14,2022/08/27 12:10,美英等5國同步出現「殖利率曲線倒掛」　全球經濟恐陷衰退,https://www.ettoday.net/news/20220827/2325678.htm
15,2022/08/27 11:08,Netflix廣告方案搶先曝光！　外媒爆料每月最低210元,https://www.ettoday.net/news/20220827/2325631.htm
16,2022/08/27 10:34,劉宥彤近況曝光！陪兒搭機赴美讀書　曝「望著背影眼淚不爭氣的流下」,https://www.ettoday.net/news/20220827/2325607.htm
17,2022/08/27 09:55,鮑爾8分鐘演說大放鷹！　美富豪身家瞬間蒸發2.36兆元,https://www.ettoday.net/news/20220827/2325569.htm
18,2022/08/27 09:51,鏡頭廠伯特光上櫃案過關　拚年底前完成登錄！,https://www.ettoday.net/news/20220827/2325579.htm
19,2022/08/27 06:10,83萬股東注意！鴻海攜肯德基推股東優惠　10／31前爽吃「當鴻炸子雞」享好康,https://www.ettoday.net/news/20220827/2325516.htm
20,2022/08/27 06:00,Web 3.0數位轉型生態圈整合交流會8／30登場　助產業數位轉型,https://www.ettoday.net/news/20220827/2325510.htm
21,2022/08/27 05:50,施振榮揭秘「宏碁經營小撇步」　曝人本智慧思維為關鍵！,https://www.ettoday.net/news/20220827/2325513.htm
22,2022/08/27 05:20,謝金河曝：曹興誠棄新加坡國籍落葉歸根　這才是愛台灣、疼惜台灣,https://www.ettoday.net/news/20220827/2325506.htm
23,2022/08/27 01:23,鮑爾全球央行年會放鷹　稱9月升息3碼可能有適切性,https://www.ettoday.net/news/20220827/2325498.htm
24,2022/08/26 22:56,快訊／美股道瓊「大跌500點」　聯準會重申升息抗通膨立場,https://www.ettoday.net/news/20220826/2325465.htm
