,title,body,publish_time
0,名家觀點》詹德斌：經濟還是中韓關係的壓艙石,<p>8月24日，是中韓建交30週年的紀念日。在這個特殊的時間節點前後，美國提出要組建包括韓國在內的「晶片四方聯盟」（Chip4）以對抗中國大陸，中韓關係如何保持健康穩定發展，是各界非常關注的話題。</p><p></p><p></p><p></p><p>觀察者網報導，面對世界的變局，上海對外經貿大學朝鮮半島研究中心主任詹德斌教授樂觀認為，韓國經濟對華依賴度不可能在短期內降低，經濟毫無疑問仍能在一段時期內扮演壓艙石的作用。</p><p></p><p></p><p></p><p>美國近日拉攏日韓台組建「晶片四方聯盟」（Chip4），排斥中國的做法，引發了各方關注。韓國科學技術情報通信部部長李宗昊此前回應，是否加入Chip4，韓國應「謹慎」決定，因為潛在的影響不僅會涉及韓國的半導體行業，還會波及韓國整體經濟。面對美國施壓，韓國過去遵循的「安全美國、經濟中國」戰略，是否會有所調整？</p><p></p><p></p><p></p><p>詹德斌指出，實際上「安全美國、經濟中國」的說法有誤導性，韓美經濟關係的重要性不可小覷，中韓關係的改善對於韓國安全環境的改善也是不可忽視的。反過來看，如果中韓關係出現問題，韓國光靠美國也保不了絕對的安全。韓國五年一次政府變化，不同政權上台的對外政策變化非常明顯，所以中韓關係長期處於政冷經熱的判斷尚早，而且中國採取何種對韓政策對兩國關係也會產生巨大的影響。</p><p></p><p></p><p></p><p>詹德斌認為，隨著中國體量的持續增加，消費能力越來越越強，兩國又有地理接近的優勢，韓國經濟對華依賴度不可能在短期內降低，經濟毫無疑問仍能在一段時期內扮演壓艙石的作用。</p><p></p><p></p><p></p><p>詹德斌表示，韓國在Chip4上採取謹慎態度，這是非常正常的。韓國需要美國的技術，但韓國顯然不希望失去中國的市場。韓國認為，要保持同中國的競爭優勢就必須不斷從美國那裡學習新技術，一旦拒絕同美國合作，韓國遲早不僅失去技術，市場也會失去。相反，即便和美國進行合作可能失去中國市場，但也只是暫時的，這是韓國晶片競爭力決定的，因為中國尖端行業需要先進製程的晶片，也需要韓國的合作，所以韓國的戰略價值反而提升。</p><p></p><p></p><p></p><p>詹德斌總結，韓國在晶片問題上的做法是任何決策者都會採取的理性決策，關鍵是未來韓國能在多大程度上影響美國，以同時確保其在中國的市場。目前來看美國顯然是以自己的國家利益為中心的。韓國實際上沒有理由採取反華政策，韓國國家利益最大化總體上是任何一屆韓國政府都會堅持的。當然，尹錫悅政府有一些將意識形態帶入外交政策的傾向。</p><p></p><p></p><p></p><p>詹德斌指出，另一方面，韓國短期內不會走上反華的道路，不會輕易挑戰中國的核心利益。在涉華政策方面，韓國目前傾向於採取消極追隨美國的姿態。因為韓國所處的地緣環境、面臨的經濟和安全問題都與日本顯然不同，韓國在諸多方面有求於中國，如朝核與朝鮮半島和平穩定問題，韓國經濟對中國的高度依賴問題等。</p><p></p><p></p><p></p><p>詹德斌表示，所以從韓國的立場來看，美日韓三方合作短期內仍應聚焦於朝鮮半島問題，一旦觸及到中國問題，特別是在台灣問題、南海問題等涉及中國核心利益的問題上，韓國都會比較謹慎，否則很可能得不償失。</p>,2022/08/28
1,金龜婿從這找！3星座男「吸金能力超強」擁有遠見一生錢途無量,<p>都說「錢不是萬能，但沒有錢萬萬不能」，在挑選另一半時，雖然品性和三觀是首要條件，但不可否認經濟實力也很重要，不少女孩們心中的夢想就是嫁給一個鑽石王老五，從此過上衣食無憂的生活。而根據星座專家唐綺陽近日在運勢命理網站「靈匣網」分析，這三個星座超會賺錢，根本就是標準的金龜婿候選人。</p><p></p><p>#雙魚座</p><p>雙魚座彷彿天生就具有對金錢敏銳的鼻子，總是可以嗅到賺錢的味道，加上好奇心旺盛，樂於接受新知，又擅長結識不同領域中的人脈，總能在談笑風生之間獲得許多關於投資、獲利的觀點。雙魚座屬於越挫越勇類型，願意主動嘗試，不怕失敗，在經過多次經驗後便找到其中「眉角」，讓他們得以在往後的投資或創業中獲利。</p><p></p><p>#處女座</p><p>財富在處女座的心中幾乎可以說是排行前幾名，金錢便是他們的安全感來源，若是口袋空空反而會讓他們陷入恐慌；加上處女座個性務實負責，腳踏實地的他們為了給家庭和伴侶過上更好的生活，會竭盡所能地賺錢，也不會推卸該盡的責任和義務，無論日子過得有多艱難，他們也會咬牙苦撐下去，久而久之也就存了不少積蓄了。</p><p></p><p>#天秤座</p><p>可千萬不要以為天秤座在榜上就以為他們是守財奴，天生就是貴族體質的他們，很會花錢但更會賺錢，完全不會委屈到自己，雖然看似花錢如流水，但其實天秤座是最擅長達到「收支平衡」的星座，不僅在事業上充滿野心，也很懂得如何適時表現自我拓展人脈，這樣下來升官的日子指日可待，收入也會噌噌上漲，加上他們顏值又高，外貌經濟兩相結合之下，天秤座根本就是「鑽石王老五」等級！</p><p></p>,2022/08/28
2,美國8月非農就業 估增31萬人,<p>美國聯準會（Fed）將於9月21日召開例會，9月2日公布的8月非農業就業報告備受市場關注，勞動市場強勁將支撐聯準會繼續升息。鑑於美國勞動市場緊繃，新增就業人口將維持上升趨勢，經濟學家預估8月非農業就業人口將增加31萬人。</p><p></p><p>美國新增就業人口繼7月意外大增52.8萬人後，財經網站Trading Economics預測，8月數據將增加31萬人，寫下連續第20個月就業成長紀錄。8月失業率估計維持在3.5％不變，保持在50年低點。</p><p></p><p>7月和8月就業報告是聯準會9月例會的決策依據之一，強勁的勞動力需求可能加重聯準會持續激進升息的壓力。安侯建業（KPMG）首席經濟學家史萬克（Diane Swonk）表示，美國勞動市場活絡，這項因素也可能推高通膨，增加聯準會9月例會升息3碼的可能。</p><p></p><p>花旗集團經濟學家穆尼爾（Isfar Munir）指出，美國勞動市場依然緊繃，且基礎經濟生產量具備韌性，新增就業人口穩健可讓聯準會維持鷹派立場。</p><p></p><p>雖然近期美國多個產業傳出裁員或凍結人事聘雇的消息，但企業開出的職缺數超過求職者人數，顯示美國勞動市場依然緊俏。</p><p></p><p>牛津經濟研究院美國經濟學家拉席德（Mahir Rasheed）表示，美國的勞動力需求仍大於供給，儘管通膨與經濟成長不確定性攀升，但美國的經濟展望還是相當穩健。</p>,2022/08/28
3,企業舵手－Aramco執行長 納賽爾為沙國經濟撐起一片天,"<p>沙烏地阿拉伯國營石油公司Aramco第二季淨利年增90％，其執行長納賽爾（Amin Nasser）功不可沒。外界認為沙國王室政權穩定和王儲極具野心的經濟多元化計畫，都因為其成功經營而得到重要財源。</p><p></p><p>Aramco第二季淨利超過市場預期，主要是油價、銷售量和煉油利潤率等走高所帶動。納賽爾說，即使全球經濟短期預測有下跌壓力，但預期全球石油需求在2030年前會繼續成長。</p><p></p><p>5月間Aramco一度超越蘋果成為全球市值最高企業，就是拜油價創14年新高所致。目前，全球市值最高企業為蘋果的2.756兆美元，Aramco以2.314兆美元緊跟其後。</p><p></p><p>納賽爾在Aramco工作49年，其敬業精神被外界稱讚。他每次要應付各種挑戰時，都要確定自己在前天就做好準備工作，而不是趕在幾個小時前倉促備戰。除了日常管理公司多達七萬名員工，納賽爾還得解決包括如何因應世界能源需求等重大問題。Aramco跟其他大型石油公司一樣，在全球能源轉型過程裡，向外提出繼續使用石化燃料的重要理據。</p><p></p><p>納賽爾去年12月在美國休士頓舉行第23屆世界石油大會（WPC）上，以其一向低調而委婉的講話方式，指全球在石油生產上持續缺乏投資，可能會對社會造成嚴重後果。</p><p></p><p>他表示繼續投資石油生產，跟開發替代能源同樣重要，因為設想全球能一夕之間轉向潔淨能源是不切實際。他明白到要公開承認在能源轉型過程中和完成轉型之後，石油與天然氣仍扮演必須而重要角色，對一些人來說是難以接受的事。但油價高漲和各國提出淨零排放承諾等，已開始引發能源供應不足、通膨猖獗和高油價令社會動盪等問題。即使大力提倡潔淨能源的拜登，就一再要求沙國增產石油以壓低油價來緩和通膨壓力。</p><p></p><p>萊斯大學能源研究員克蘭（Jim Krane）指出在某些圈子裡，納賽爾被視為令氣候異常惡化的威脅，因為Aramco提出積極計畫，要在2027年把每天產油量提升至1,300萬桶。目前其每天最高產量為1,200萬桶。</p><p></p><p>但對沙國來說，納賽爾被視為一位改革者。因為他透過推動化學和氫能等業務，和持續為Aramco營運脫碳，致力讓公司有多元化的成功業務模式。</p><p></p><p>Aramco石油設施2019年9月遭無人機和飛彈攻擊而面臨危機，但納賽爾迅速應變而克服問題，同年12月更讓公司成功在沙國上市，籌資294億美元創迄今全球最大「股票首度公開上市」（IPO）紀錄。</p><p></p><p>他在2020年讓公司併購沙國石化巨擘沙烏地基礎工業公司（SABIC）來拓展石化業務。</p><p></p><p>儘管如此，西方對納賽爾的了解不多。因為他跟Aramco歷任許多執行長出身美國著名大學不同，他接受沙國教育後在公司內部不斷往上爬，是本土培養出來的技術官僚。</p><p></p><p>他當初進入Aramco是由石油工程師做起，在2015年當上執行長之前，曾擔任包括副總裁等重要職務，在整合石油與天然氣的重大投資計畫上扮演主導角色。知情者透露他極重視工作倫理和堅持做到最好。</p><p></p><p>為了讓公司運作更順利，他必須得到能源部長阿卜度拉齊茲親王（Prince Abdulaziz bin Salman）和主權財富基金「公共投資基金」（PIF）總裁魯馬揚（Yasir al－Rumayyan）這兩位沙國最有權勢人物的支持。尤其後者身兼Aramco董事長一職。知情者指出在有力人士支持下，納賽爾能完全領導Aramco。專家指他在公司極得人心，因他授權下屬去充份發揮，願意花時間協調管理層與基層員工的溝通。</p><p></p><p>克蘭說，納賽爾背負的職責超過一般石油公司執行長，因為他不但要推動生產與行銷石油，還要不斷為沙國政府帶來重要的財政收入。</p>",2022/08/28
4,社評／大陸電力緊張帶來全球警示,<p>大陸南方地區自6月下旬起罕見持續高溫乾旱，使8成電力供應依靠水電的川渝地區，陷入缺電危機。四川是「西電東送」重要基地，大陸經濟重鎮長三角地區用電因而受到影響，相繼啟動有序用電模式，缺電會不會拖累大陸經濟復甦步伐受到關注。</p><p></p><p>跨省電路對接 亟待完善</p><p></p><p>從整體來看，今夏電力緊張對大陸經濟的衝擊應有限。一來，吸取去年因「拉閘限電」導致許多企業未能及時交付訂單的經驗教訓，今年大陸火電供應充足，應能紓解部分燃眉之急，且四川等省已採取分區分時段「輪停輪供」的有序限電措施，多數工業企業得以復產；二來，今年大陸部分行業需求本就低迷，疊加傳統淡季因素，暑期限電對生產的影響並不嚴重。據大陸氣象部門預測，9月初南方高溫將得到普遍緩解，因極端天氣陷入電力緊張的地區屆時也可鬆一口氣。</p><p></p><p>不過，一旦極端天氣導致的夏季電力緊張變成「新常態」，經濟社會所面臨的衝擊將不可同日而語。此次電力緊張雖不至於對大陸產業鏈產生大的衝擊，卻也暴露出大陸在能源調控等方面亟待改善的幾個問題，這對全球各經濟體而言亦有警示意義。</p><p></p><p>首先，此輪電力緊張提醒大陸加快建立能夠適應極端天氣的能源系統。大陸氣象部門日前表示，未來全球極端高溫和乾旱的頻率和強度還將增加，而大陸年平均氣溫的增幅將明顯高於全球，目前50年一遇的高溫極端事件，到本世紀末會幾年一次。極端天氣對能源系統，特別是清潔能源帶來的不確定性在此次四川電力緊張中有目共睹。高溫乾旱不僅使四川全省水電能力下降一半以上，迫使7月分該省煤電發電量比往年至少增加兩成，還使新能源汽車出現自燃、找不到充電樁等情況，對清潔能源的推廣造成負面影響。</p><p></p><p>大陸若想兼顧「雙碳」（力爭2030年前實現碳達峰、2060年前實現碳中和）目標和經濟社會的發展目標，就必須盡快完善能源系統對極端天氣的適應力。大陸科技部等9部門不久前聯合發布《科技支撐碳達峰碳中和實施方案（2022-2030年）》，列舉的十大任務包括煤炭清潔利用、新能源發電和儲能等，恰是其中關鍵環節。</p><p></p><p>世界缺電難題 共同面對</p><p></p><p>其次，加快建立大陸電網的「統一大市場」。根據大陸「十四五」大型清潔能源基地分布圖，四川、雲南、湖北3省是「西電東送」的重要基地。「西電東送」在保障大陸東部產業鏈發展的同時，也幫助西部依靠水電富裕起來，但是此次電力緊張卻暴露出跨省電路對接方面的問題。</p><p></p><p>由於國家電網與南方電網的電路難以完全對接，雲貴雖毗鄰川渝，卻無法向其輸送富裕的水電。在此情況下，陝西送四川的直流輸電通道不得不滿功率運行，並啟用從隴南通往四川的備用線路全力送電。同時，大陸13個省分急派50台應急發電車赴四川供電。從長遠計，大陸需加快國家電網和南方電網的互聯互通，將風、光、水、核等電力資源統籌起來，以備不時之需。</p><p></p><p>此外，可與其他國家和地區協力解決氣候和能源議題。應對氣候變化的時間緊迫，對全球各經濟體而言，當務之急是通過最有效的全球化資源配置，使各產業中最具優勢的經濟體負責生產製造，協力打造強大穩定的清潔能源系統。例如，大陸可提供相關基礎設施建設的技術支持，而東南亞國家則可更有效地利用當地電力資源。</p><p></p><p>面對極端天氣和能源議題，沒有一個經濟體能夠獨善其身。一方面，大陸高溫乾旱一旦持續，勢必會對全球產業鏈產生衝擊；另一方面，《2022年乾旱數字報告》指出，到2050年，極端天氣或將影響全球3/4以上的人口。</p><p></p><p>大陸地大物博，尚且遇到電力危機，未來如果全球變暖加速，小型經濟體更難自保。此次大陸電力緊張既是敲響警鐘，也是為各方再一次提供選擇機會：是把清潔能源視為一場你死我活的角力，還是放下眼前利益，共同應對難題。</p>,2022/08/28
5,數位發展部揭牌 蘇煥智批「錯誤決策」,<p>數位發展部昨天揭牌，台灣維新、台北市長參選人蘇煥智昨天表示，這是一個定位模糊的中央新部會，將容易造成原來權責部會與數位發展部互推責任，「我認為這是一個錯誤的決策」，更與政府改造、部會組織精簡的目標大違背。</p><p></p><p>數位發展部成立，爭議不斷，被外界批評約聘比率過高，在野黨甚至質疑是為「網軍漂白」。</p><p></p><p>蘇煥智受訪指出，台灣的數位產業發展，在經濟部底下有資策會，有1000多位人員，工研院下面也有很多資通訊相關部門，這部分本來就是經濟部權責。</p><p></p><p>他說，目前政府組織架構中，數位科技運用本來就在相關部會的權責範圍，現在還要多成立一個部會，反而變成疊床架屋。</p><p></p><p>蘇煥智說，目前國安議題都有跟國安單位資訊整合，專業技術也可以跟民間機構合作，應該從原有部門強化，如今多成立一個部會，最後就是「有事互推皮球，有資源大家搶」，難怪大家會質疑，是否要把網軍頭移到此？</p><p></p><p>對於新任部長唐鳳表示，「數位部約聘比率高，都是數位部法定的組織法編制」，蘇煥智說，這群人沒有受相關資格及學歷限制，數位能力用什麼評鑑？</p><p></p><p>蘇煥智也透過臉書指出，數位發展部定位模糊，如過去的國科會提升為科技部，後來發現跟各部會互搶科技研發資源，最後發現錯誤，又改回國科會。</p><p></p><p>他舉例，例如最近發現網路上海量各種詐騙，其實還是要回歸由警察機關，增設網路警察局負責。同樣的，涉及國安相關的問題，還是要回歸國安相關單位，如何統合網路資訊專業人才，強化資訊網路的國安。</p><p></p><p>蘇煥智說，疫情爆發至今已2年，但今年4月台灣大流行時卻發生各疫情通報系統塞車，造成防疫上很大問題，這不僅是當時擔任防疫指揮官的陳時中嚴重失職，數位政委唐凰難道就沒有責任？而這就是典型的互推責任。</p><p></p><p>蘇煥智強調，最近國家通訊委員會NCC強推「數位中介服務法」草案也是標榜國安，未來NCC跟數位發展部的權責，又要如何合理釐清？是不是又將出現互推責任、卻又互搶資源的亂局，令人憂心。</p>,2022/08/28
6,科技業用水回收達7成 耗水費有優惠,<p>政府預告開徵耗水費，用水大戶每度需多繳3元。為鼓勵節水減緩衝擊，經濟部近日完成百業用水回收率標準，科技業平均回收率標準約為7成、傳統產業在4成左右。未來企業用水回收達標該行業回收率，優惠價只收2元，如比表定回收率高，更可只繳1元。至於軌道業等國營事業，則標準比民營同業加嚴1成，過關才享優惠。</p><p></p><p>經濟部去年底預告耗水費開徵辦法，月用水9000度以上大戶每度水費將被加收3元，開徵期間為每年枯水期間的11月至隔年4月，總共半年，用水人需於每年7月31日前繳納完前一年費用。</p><p></p><p>經濟部水利署估計需繳納對象有電子、鋼鐵、紡織、水泥、百貨公司、大型旅館等1700家企業。但當時該法有打出優惠費率，大戶如有進行用水回收，達到該行業平均用水回收率標準，就可以獲只繳1到2元優惠。</p><p></p><p>隨後經濟部水利署進行200多個行業回收率標準訂定，在參考工業局、科技部等節水輔導、開發單位用水計畫書節水率後，再與各產業公會溝通，近日已完成所有行業別的用水回收率標準。</p><p></p><p>200個行業回收率，須等經濟部正式公布。但據了解，科技業（電子業、半導體）的用水回收率被課較高，平均在7成左右。至於傳統產業較低，平均用水回收率約4成。少數產業例如鋼鐵業，回收率則被拉高到9成以上。國營事業如港務業，台鐵、高鐵、捷運等軌道業，則訂的比同行民營公司標準高1成。</p><p></p><p>未來實施後，只要該公司用水達到表定回收率，每度就可以只繳2元，如果高於回收率標準，更只要繳納1元，等於只有原來費率的2/3與1/3。</p><p></p><p>經濟部指出，電子業、半導體業是封閉式生產，用水容易進行再利用，所以回收標準要高一點。相對傳統產業涉及廠房特性、投資設備關係，須給低一點的標準。至於鋼鐵業之所以更高，是因為該行業很早就進行節水回收改善，實際都可以做到。</p><p></p><p>不過，一個企業不一定只生產一種商品，有可能跨4到5個行業，例如友達是面板業，但也可以被歸為電子業。根據規畫，將給予業者選擇最有利的行業別權利。</p><p></p><p>身兼三三會理事長的台玻董事長林伯豐表示，給予節水優惠是好事，但是還是要看怎麼計算用水回收比例、公式設計等，是不是有那麼好，還要再了解。</p>,2022/08/28
7,節水政策一拖再拖 經部失職,<p>去年底預告今年7月開徵的耗水費，現在時序即都要進入9月，但何時啟動卻是一點聲音都沒有。據了解，7月產業用戶電價被漲15％，讓經濟部憂心遭到業界反彈，是遲遲無法拍板主因之一。</p><p></p><p>可是對照近日水情吃緊，政府不斷呼籲民眾節水備戰，但可讓用水大戶更節水、更有效率用水的耗水費開徵，卻是一拖再拖。坐視水資源配置持續失衡，主責的經濟部，實在難脫怠惰失職之嫌。</p><p></p><p>台灣不是水資源豐富國家，去年的百年大旱才結束，現在又因颱風沒來明年可能缺水。因此耗水費開徵，以價制量，逼使大戶節水回收，多使用再生水，無疑是當務之急工作。現在只因電價調漲，產業叫苦，就一延再延，沒有道理。</p><p></p><p>其實耗水費制定，已為工商業體貼再體貼。對於艱困企業，已訂有連續2年本業淨利為0或負值，可分期或緩繳。再來又針對200多個行業訂定用水回收率，如果努力節水，原來1度課徵3元耗水費，最高可以優惠只繳1/3。</p><p></p><p>甚至前3年還給予減半徵收緩衝期，這麼體恤工商業，將衝擊減到最低又最低。結果，說好的7月開徵，至今「只聞樓梯響，未見人下來」。</p><p></p><p>耗水費規畫拖了很多年，經濟部長王美花還在立法院被立委罵「難道財團才是經濟部的老闆？」。值此水情艱困時刻，經濟部要趕緊拿出有為當為骨氣，該開徵就開徵，不要再被質疑才是。</p>,2022/08/28
8,全球經濟快崩了？日媒警告：這5國同時驚見1現象,<p>全球經濟衰退要來了嗎？根據日經新聞報導，在10國集團(G10)當中，包括美國、英國、加拿大、瑞典、紐西蘭等5國，竟然同步出現殖利率曲線倒掛情形，而主要5國齊現「倒掛」，是有資料可供追溯的2005年以來首度發生。</p><p></p><p></p><p></p><p>報導指出，各國央行為了抑制通膨，紛紛加快升息腳步，上述這5國一度同時出現2年債殖利率高於10年債殖利率的「殖利率曲線倒掛」，而短債利率高於長債利率被視為是經濟衰退的徵兆。</p><p></p><p></p><p></p><p>報導提到，美國、瑞典、加拿大是在7月上旬發生「殖利率曲線倒掛」現象，紐西蘭、英國分別在8月5日左右、8月15日加入「倒掛」，值得注意的是，上述主要5國同時出現「倒掛」，為金融情報服務公司QUICK有資料可供追溯的2005年以來首見，回顧2007年5月發生次貸危機和2019年8月陸美貿易摩擦嚴重時，也頂多只有3~4個主要國家同時出現「倒掛」。</p><p></p><p></p><p></p><p>全球經濟衰退的烏雲正在席捲而來，《日經中文網》以「世界經濟處於失去火車頭的緊要關頭」為題發表文章，強調世界經濟面臨多重挑戰，包括美國和歐洲對高通膨問題束手無策，北京政府嚴格的疫情防控加劇了未來風險，而且大陸人口紅利已經不存在。</p><p></p><p></p><p></p><p>摩根士丹利（大摩）經濟研究部門主管卡本特（Seth Carpenter）撰文指出，全球經濟衰退的不利因素正在聚集，除了大陸第2季國內生產總值（GDP）下降，美國經濟在第二季度陷入「技術性衰退」外，歐洲因為俄國減供天然氣受到的衝擊更大，歐元區經濟衰退的風險達到自2020年11月以來的最高水平。</p>,2022/08/27
9,全美議會交流理事會決議 籲印太經濟架構納台灣,<p>全美議會交流理事會日前通過決議案，呼籲美國「印太經濟架構」納台灣，並鼓勵各州議會成立友台連線。駐美代表處今天感謝該會通過友台決議，未來將與美國各界推動台美合作。</p><p></p><p>「全美議會交流理事會」（American Legislative Exchange Council，ALEC）是由全美近1/4地方議會議員及私人企業成員組成的非營利組織，會員人數高達2000多人，是美國頗具規模的跨州地方議會交流組織。</p><p></p><p>ALEC近年來多次通過支持台灣及台美關係的決議案，本週稍早再度通過兩項決議，分別呼籲將台灣納入由美國主導的「印太經濟架構」（IPEF）、鼓勵全美各州議會成立「友台連線」。</p><p></p><p>決議案表示，台灣是印太區域最強健及富裕的經濟體之一，2021年國內生產毛額（GDP）達約6600億美元，超越IPEF其中7名會員國；另2020年美台貿易總額達約1059億美元，是美國在印太重要貿易夥伴，台灣半導體產業也是世界之最。</p><p></p><p>此外，決議案指出，向中國展現美台關係重要性及活力，不僅符合美國國家利益，也能嚇阻北京侵略台灣，因此支持「印太經濟架構」應納入台灣。</p><p></p><p>美國總統拜登（Joe Biden）5月底訪日期間宣布啟動「印太經濟架構」，以加強美國與印太區域經濟連結，制衡中國影響。首批成員包含美國在內共有14國，包括澳洲、汶萊、印度、印尼、日本、馬來西亞、紐西蘭、菲律賓、新加坡、韓國、泰國、越南及斐濟，台灣未在其中。</p><p></p><p>另一項決議案則說，台灣與美國共享自由、民主、人權、法治、和平及繁榮等價值，鼓勵各州議會透過「友台連線」致力強化、深化該州與台灣的關係，並支持台灣有意義參與國際組織。</p><p></p><p>駐美代表處今天發布新聞稿，感謝ALEC通過上述兩項友台決議案，表示未來願就美國地方草根力量及台美經貿合作，和美國各界共同努力推展。（編輯：周永捷）1110827</p><p></p><p></p>,2022/08/27
10,本周選書－《穀物之海》,<p>國家權力的槓桿，如何撐起一座全球貿易的穀物糧倉？源自烏克蘭的黑土，這塊號稱歐洲最肥沃的土壤所孕育出的農作物小麥，是影響歷史經濟興衰最重要的商品。作者親自踏上黑土，追溯歐洲糧倉發源地烏克蘭及俄羅斯，窺探歐洲各國與美國糧食利益天平如何改變，經濟霸權地位如何易主。</p>,2022/08/27
11,製造業熄火 經濟擴張放緩,<p>國發會26日指出，7月景氣領先指標跌幅1.56％，連九個月下滑。國發會官員強調，這不代表景氣沒有成長，只是擴張力道放緩，領先指標七個構成項目裡跌幅最大的是製造業營業氣候測驗點，屬於信心面調查。</p><p></p><p>根據國發會資料顯示，7月景氣領先指標不含趨勢指數較6月下降1.56％，累積跌幅7.33％。而在七個構成項目經去除長期趨勢後，僅實質半導體設備進口值較上月上升，其餘六項包含製造業營業氣候測驗點、建築物開工樓地板面積、外銷訂單動向指數、股價指數、實質貨幣總計數M1B、工業及服務業受僱員工淨進入率，皆較6月下滑。</p><p></p><p>國發會官員強調，跌幅超過1％其實不能說很大，景氣沒有不好或是不成長，只是擴張力道走緩，經濟方面還是很穩定。</p><p></p><p>該官員表示，跌幅最大的是製造業營業氣候測驗點，不過他說這是信心面調查，比較容易受氣氛影響，目前全球經濟成長率下修，會讓廠商看法比較保守，所以分數才出現下滑，如果未來保持穩定，廠商信心就會回升，跌幅也會慢慢改善。而這要慢慢觀察，大環境瞬息萬變，外界可能會擔心聯準會繼續升息，但美股近日又大漲，很難預測8月是否會回升。</p><p></p><p>目前內需力量和出口力道不斷交互支撐，可能有時候其中一個慢一點，另一個快一點，領先指標是看成長在加速還是減速，總體來說都還是有成長。</p><p></p><p>該官員提到，新冠肺炎前年剛爆發的時候，廠商也是很擔心，但回頭看，當時台灣外銷訂單成績、全年所得也都很好，儘管不能出國，但國內消費暢旺，目前的狀況可能跟當時類似。</p>,2022/08/27
